rank,playerId,name,pos,pos_rank,team,league_pts,vorp,draft_value,adp,sd_pts,fp_pts,ecr,ecr_tier,sos,fp_adp
1,23189,Bijan Robinson,RB,1,ATL,140.84,69.71,69.7,0.5,143.18,138.5,1.0,1.0,2.0,1.0
2,23200,Jahmyr Gibbs,RB,2,DET,139.32,68.19,68.2,0.2,137.54,141.1,2.0,1.0,5.0,2.0
3,24172,Puka Nacua,WR,1,LAR,123.23,54.1,54.1,1.0,126.47,120.0,4.0,1.0,1.0,4.0
4,18877,Christian McCaffrey,RB,3,SF,124.23,53.1,53.1,1.2,124.47,124.0,7.0,1.0,2.0,9.0
5,21682,Jonathan Taylor,RB,4,IND,122.06,50.93,50.9,1.7,123.52,120.6,8.0,2.0,4.0,9.0
6,22564,Ja'Marr Chase,WR,2,CIN,118.74,49.61,49.6,0.7,120.18,117.3,3.0,1.0,4.0,3.0
7,23157,Jaxon Smith-Njigba,WR,3,SEA,115.97,46.84,46.8,1.5,117.24,114.7,5.0,1.0,3.0,4.0
8,22587,Amon-Ra St. Brown,WR,4,DET,111.18,42.05,42.0,1.9,111.06,111.3,6.0,1.0,4.0,4.0
9,24179,De'Von Achane,RB,5,MIA,110.48,39.35,39.4,3.2,112.26,108.7,16.0,3.0,3.0,19.0
10,23247,James Cook III,RB,7,BUF,107.88,36.75,36.8,2.4,109.45,106.3,11.0,2.0,2.0,13.0
11,17959,Derrick Henry,RB,6,BAL,107.95,36.82,36.8,10.8,105.21,110.7,23.0,3.0,3.0,24.0
12,24374,Chase Brown,RB,8,CIN,103.45,32.32,32.3,3.4,104.11,102.8,17.0,3.0,2.0,19.0
13,25868,Ashton Jeanty,RB,9,LV,103.31,32.18,32.2,2.2,103.11,103.5,12.0,2.0,2.0,13.0
14,23251,Trey McBride,TE,1,ARI,89.41,31.72,31.7,10.4,90.71,88.1,22.0,3.0,2.0,25.0
15,19766,Saquon Barkley,RB,10,PHI,102.54,31.41,31.4,3.9,102.48,102.6,19.0,3.0,4.0,24.0
16,23151,Drake London,WR,5,ATL,100.0,30.87,30.9,4.1,98.4,101.6,13.0,2.0,3.0,9.0
